resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
204,172002,raikkonen,,,,,,,,,,,,,,,
221,172002,trulli,,,,,,,,,,,,,,,
238,172002,rosa,,,,,,,,,,,,,,,
255,172002,verstappen,,,,,,,,,,,,,,,
272,172002,verstappen,,,,,,,,,,,,,,,
289,172002,fisichella,,,,,,,,,,,,,,,
17,172003,hakkinen,,,,,,,,,,,,,,,
34,172003,heidfeld,,,,,,,,,,,,,,,
51,172003,verstappen,,,,,,,,,,,,,,,
68,172003,villeneuve,,,,,,,,,,,,,,,
85,172003,barrichello,,,,,,,,,,,,,,,
102,172003,bernoldi,,,,,,,,,,,,,,,
119,172003,burti,,,,,,,,,,,,,,,
136,172003,barrichello,,,,,,,,,,,,,,,
153,172003,heidfeld,,,,,,,,,,,,,,,
170,172003,alonso,,,,,,,,,,,,,,,
187,172003,ralf_schumacher,,,,,,,,,,,,,,,
204,172003,raikkonen,,,,,,,,,,,,,,,
221,172003,trulli,,,,,,,,,,,,,,,
238,172003,rosa,,,,,,,,,,,,,,,
255,172003,verstappen,,,,,,,,,,,,,,,
272,172003,verstappen,,,,,,,,,,,,,,,
289,172003,fisichella,,,,,,,,,,,,,,,
17,172004,hakkinen,,,,,,,,,,,,,,,
34,172004,heidfeld,,,,,,,,,,,,,,,
51,172004,verstappen,,,,,,,,,,,,,,,
68,172004,villeneuve,,,,,,,,,,,,,,,
85,172004,barrichello,,,,,,,,,,,,,,,
102,172004,bernoldi,,,,,,,,,,,,,,,
119,172004,burti,,,,,,,,,,,,,,,
136,172004,barrichello,,,,,,,,,,,,,,,
153,172004,heidfeld,,,,,,,,,,,,,,,
170,172004,alonso,,,,,,,,,,,,,,,
187,172004,ralf_schumacher,,,,,,,,,,,,,,,
204,172004,raikkonen,,,,,,,,,,,,,,,
221,172004,trulli,,,,,,,,,,,,,,,
238,172004,rosa,,,,,,,,,,,,,,,
255,172004,verstappen,,,,,,,,,,,,,,,
272,172004,verstappen,,,,,,,,,,,,,,,
289,172004,fisichella,,,,,,,,,,,,,,,
17,172005,hakkinen,,,,,,,,,,,,,,,
34,172005,heidfeld,,,,,,,,,,,,,,,
51,172005,verstappen,,,,,,,,,,,,,,,
68,172005,villeneuve,,,,,,,,,,,,,,,
85,172005,barrichello,,,,,,,,,,,,,,,
102,172005,bernoldi,,,,,,,,,,,,,,,
119,172005,burti,,,,,,,,,,,,,,,
136,172005,barrichello,,,,,,,,,,,,,,,
153,172005,heidfeld,,,,,,,,,,,,,,,
170,172005,alonso,,,,,,,,,,,,,,,
187,172005,ralf_schumacher,,,,,,,,,,,,,,,
204,172005,raikkonen,,,,,,,,,,,,,,,
221,172005,trulli,,,,,,,,,,,,,,,
238,172005,rosa,,,,,,,,,,,,,,,
255,172005,verstappen,,,,,,,,,,,,,,,
272,172005,verstappen,,,,,,,,,,,,,,,
289,172005,fisichella,,,,,,,,,,,,,,,
17,172006,hakkinen,,,,,,,,,,,,,,,
34,172006,heidfeld,,,,,,,,,,,,,,,
51,172006,verstappen,,,,,,,,,,,,,,,
68,172006,villeneuve,,,,,,,,,,,,,,,
85,172006,barrichello,,,,,,,,,,,,,,,
102,172006,bernoldi,,,,,,,,,,,,,,,
119,172006,burti,,,,,,,,,,,,,,,
136,172006,barrichello,,,,,,,,,,,,,,,
153,172006,heidfeld,,,,,,,,,,,,,,,
170,172006,alonso,,,,,,,,,,,,,,,
187,172006,ralf_schumacher,,,,,,,,,,,,,,,
204,172006,raikkonen,,,,,,,,,,,,,,,
221,172006,trulli,,,,,,,,,,,,,,,
238,172006,rosa,,,,,,,,,,,,,,,
255,172006,verstappen,,,,,,,,,,,,,,,
272,172006,verstappen,,,,,,,,,,,,,,,
289,172006,fisichella,,,,,,,,,,,,,,,
17,172007,hakkinen,,,,,,,,,,,,,,,
34,172007,heidfeld,,,,,,,,,,,,,,,
51,172007,verstappen,,,,,,,,,,,,,,,
68,172007,villeneuve,,,,,,,,,,,,,,,
85,172007,barrichello,,,,,,,,,,,,,,,
102,172007,bernoldi,,,,,,,,,,,,,,,
119,172007,burti,,,,,,,,,,,,,,,
136,172007,barrichello,,,,,,,,,,,,,,,
153,172007,heidfeld,,,,,,,,,,,,,,,
170,172007,alonso,,,,,,,,,,,,,,,
187,172007,ralf_schumacher,,,,,,,,,,,,,,,
204,172007,raikkonen,,,,,,,,,,,,,,,
221,172007,trulli,,,,,,,,,,,,,,,
238,172007,rosa,,,,,,,,,,,,,,,
255,172007,verstappen,,,,,,,,,,,,,,,
272,172007,verstappen,,,,,,,,,,,,,,,
289,172007,fisichella,,,,,,,,,,,,,,,
17,172008,hakkinen,,,,,,,,,,,,,,,
34,172008,heidfeld,,,,,,,,,,,,,,,
51,172008,verstappen,,,,,,,,,,,,,,,
68,172008,villeneuve,,,,,,,,,,,,,,,
85,172008,barrichello,,,,,,,,,,,,,,,
102,172008,bernoldi,,,,,,,,,,,,,,,
119,172008,burti,,,,,,,,,,,,,,,
136,172008,barrichello,,,,,,,,,,,,,,,
153,172008,heidfeld,,,,,,,,,,,,,,,
170,172008,alonso,,,,,,,,,,,,,,,
187,172008,ralf_schumacher,,,,,,,,,,,,,,,
204,172008,raikkonen,,,,,,,,,,,,,,,
221,172008,trulli,,,,,,,,,,,,,,,
238,172008,rosa,,,,,,,,,,,,,,,
255,172008,verstappen,,,,,,,,,,,,,,,
272,172008,verstappen,,,,,,,,,,,,,,,
